14121,location 118,-event_type 34 - event_type 35 - ,-feature 312 - feature 232 - ,-19 - 19 - ,-resource_type 2 - ,-severity_type 2 - ,1
9735,location 707,-event_type 15 - ,-feature 193 - feature 71 - ,-4 - 6 - ,-resource_type 8 - ,-severity_type 2 - ,0
14048,location 978,-event_type 15 - event_type 11 - ,-feature 201 - feature 80 - ,-2 - 1 - ,-resource_type 8 - ,-severity_type 1 - ,1
6769,location 775,-event_type 15 - event_type 11 - ,-feature 203 - feature 82 - ,-3 - 4 - ,-resource_type 8 - ,-severity_type 1 - ,0
2514,location 829,-event_type 11 - ,-feature 55 - feature 171 - ,-5 - 1 - ,-resource_type 8 - ,-severity_type 2 - ,0
896,location 732,-event_type 11 - ,-feature 55 - feature 171 - ,-1 - 1 - ,-resource_type 8 - ,-severity_type 1 - ,0
4757,location 508,-event_type 35 - event_type 34 - ,-feature 312 - feature 229 - feature 232 - feature 311 - feature 314 - feature 309 - feature 316 - feature 234 - ,-7 - 19 - 4 - 7 - 20 - 20 - 7 - 19 - ,-resource_type 2 - ,-severity_type 2 - ,0
16358,location 257,-event_type 20 - ,-feature 134 - feature 219 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 1 - ,1
11810,location 116,-event_type 34 - event_type 35 - ,-feature 232 - feature 312 - ,-2 - 4 - ,-resource_type 2 - ,-severity_type 2 - ,0
7274,location 830,-event_type 11 - ,-feature 68 - feature 209 - feature 87 - ,-1 - 2 - 1 - ,-resource_type 8 - ,-severity_type 1 - ,1
2972,location 491,-event_type 34 - event_type 35 - ,-feature 235 - feature 315 - ,-2 - 2 - ,-resource_type 2 - ,-severity_type 2 - ,0
7392,location 253,-event_type 35 - event_type 34 - ,-feature 232 - feature 227 - feature 233 - feature 307 - feature 313 - feature 312 - ,-2 - 2 - 1 - 2 - 1 - 2 - ,-resource_type 2 - ,-severity_type 2 - ,0
6824,location 740,-event_type 11 - ,-feature 195 - feature 73 - ,-1 - 1 - ,-resource_type 8 - ,-severity_type 2 - ,0
4311,location 704,-event_type 15 - event_type 11 - ,-feature 74 - feature 203 - feature 80 - feature 201 - feature 196 - feature 82 - ,-1 - 20 - 5 - 6 - 1 - 18 - ,-resource_type 8 - ,-severity_type 1 - ,2
12261,location 1089,-event_type 11 - ,-feature 170 - feature 68 - feature 54 - ,-11 - 1 - 17 - ,-resource_type 8 - ,-severity_type 1 - ,2
14752,location 653,-event_type 11 - event_type 15 - ,-feature 76 - feature 68 - ,-1 - 5 - ,-resource_type 8 - ,-severity_type 2 - ,0
14992,location 600,-event_type 15 - ,-feature 203 - feature 82 - ,-1 - 2 - ,-resource_type 8 - ,-severity_type 2 - ,2
967,location 892,-event_type 42 - event_type 43 - event_type 44 - ,-feature 291 - feature 375 - feature 290 - feature 283 - feature 368 - feature 376 - ,-5 - 4 - 1 - 6 - 5 - 6 - ,-resource_type 2 - ,-severity_type 1 - ,2
8059,location 802,-event_type 23 - ,-feature 306 - ,-2 - ,-resource_type 7 - ,-severity_type 4 - ,0
13406,location 794,-event_type 14 - event_type 23 - event_type 11 - event_type 20 - ,-feature 163 - feature 47 - feature 134 - feature 306 - feature 219 - ,-3 - 3 - 1 - 2 - 1 - ,-resource_type 4 - resource_type 2 - resource_type 7 - resource_type 8 - ,-severity_type 1 - ,0
11424,location 477,-event_type 35 - event_type 34 - ,-feature 235 - feature 229 - feature 312 - feature 234 - feature 315 - feature 314 - feature 309 - ,-1 - 14 - 2 - 54 - 1 - 67 - 23 - ,-resource_type 2 - ,-severity_type 2 - ,0
3945,location 684,-event_type 15 - ,-feature 71 - feature 82 - feature 203 - ,-1 - 44 - 18 - ,-resource_type 8 - ,-severity_type 2 - ,2
10351,location 895,-event_type 42 - event_type 44 - event_type 43 - ,-feature 375 - feature 283 - feature 291 - feature 368 - feature 376 - feature 290 - ,-49 - 44 - 51 - 54 - 54 - 10 - ,-resource_type 2 - ,-severity_type 1 - ,2
2272,location 496,-event_type 35 - event_type 34 - ,-feature 307 - feature 312 - feature 233 - feature 227 - feature 313 - feature 232 - ,-1 - 23 - 2 - 1 - 2 - 24 - ,-resource_type 2 - ,-severity_type 2 - ,0
10752,location 321,-event_type 34 - event_type 35 - ,-feature 312 - feature 307 - feature 232 - ,-2 - 2 - 2 - ,-resource_type 2 - ,-severity_type 2 - ,1
17096,location 1107,-event_type 15 - event_type 11 - ,-feature 71 - feature 193 - feature 201 - feature 203 - feature 108 - feature 82 - ,-144 - 90 - 1 - 6 - 20 - 413 - ,-resource_type 8 - ,-severity_type 1 - ,2
17314,location 1086,-event_type 15 - ,-feature 82 - feature 203 - ,-16 - 14 - ,-resource_type 8 - ,-severity_type 2 - ,2
12770,location 895,-event_type 42 - event_type 43 - event_type 44 - ,-feature 290 - feature 283 - feature 375 - feature 368 - feature 376 - feature 291 - ,-2 - 1 - 10 - 12 - 12 - 1 - ,-resource_type 2 - ,-severity_type 1 - ,1
3304,location 1099,-event_type 11 - ,-feature 81 - feature 202 - ,-5 - 3 - ,-resource_type 8 - ,-severity_type 2 - ,1
9012,location 975,-event_type 20 - ,-feature 134 - feature 219 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 1 - ,0
9928,location 1019,-event_type 15 - ,-feature 203 - feature 82 - ,-22 - 72 - ,-resource_type 8 - ,-severity_type 2 - ,2
297,location 812,-event_type 10 - event_type 11 - ,-feature 55 - feature 150 - feature 171 - feature 35 - ,-11 - 2 - 9 - 1 - ,-resource_type 8 - resource_type 3 - ,-severity_type 1 - ,2
5751,location 342,-event_type 35 - event_type 34 - ,-feature 232 - feature 312 - ,-3 - 4 - ,-resource_type 2 - ,-severity_type 2 - ,0
17692,location 744,-event_type 14 - event_type 11 - ,-feature 54 - feature 170 - ,-1 - 2 - ,-resource_type 8 - resource_type 4 - ,-severity_type 2 - ,1
3688,location 181,-event_type 35 - ,-feature 313 - feature 312 - ,-1 - 2 - ,-resource_type 2 - ,-severity_type 4 - ,0
3425,location 1086,-event_type 15 - ,-feature 203 - feature 82 - ,-3 - 20 - ,-resource_type 8 - ,-severity_type 2 - ,1
7871,location 1052,-event_type 15 - event_type 11 - ,-feature 203 - feature 80 - feature 82 - ,-4 - 1 - 9 - ,-resource_type 8 - ,-severity_type 1 - ,1
10013,location 696,-event_type 11 - ,-feature 54 - feature 170 - ,-1 - 1 - ,-resource_type 8 - ,-severity_type 2 - ,0
13832,location 1008,-event_type 15 - ,-feature 80 - feature 82 - feature 203 - ,-1 - 12 - 1 - ,-resource_type 8 - ,-severity_type 2 - ,1
11743,location 798,-event_type 15 - ,-feature 82 - feature 203 - ,-12 - 5 - ,-resource_type 8 - ,-severity_type 2 - ,1
10099,location 760,-event_type 11 - event_type 54 - ,-feature 170 - feature 54 - ,-21 - 107 - ,-resource_type 8 - resource_type 2 - ,-severity_type 1 - ,1
16682,location 777,-event_type 15 - ,-feature 203 - feature 82 - ,-1 - 4 - ,-resource_type 8 - ,-severity_type 2 - ,1
10156,location 95,-event_type 35 - event_type 34 - ,-feature 232 - feature 230 - feature 308 - feature 228 - feature 307 - feature 310 - feature 312 - ,-1 - 6 - 6 - 6 - 1 - 5 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,1
16154,location 699,-event_type 54 - ,-feature 360 - ,-1 - ,-resource_type 2 - ,-severity_type 5 - ,0
14176,location 272,-event_type 35 - event_type 20 - ,-feature 134 - feature 301 - feature 219 - ,-1 - 2 - 2 - ,-resource_type 2 - ,-severity_type 1 - ,1
14964,location 704,-event_type 15 - ,-feature 201 - feature 82 - feature 80 - feature 203 - ,-1 - 22 - 2 - 10 - ,-resource_type 8 - ,-severity_type 2 - ,2
12896,location 613,-event_type 54 - event_type 15 - ,-feature 203 - feature 82 - ,-7 - 10 - ,-resource_type 8 - ,-severity_type 1 - ,2
7288,location 846,-event_type 15 - ,-feature 203 - feature 82 - ,-18 - 29 - ,-resource_type 8 - ,-severity_type 2 - ,2
15882,location 795,-event_type 11 - event_type 15 - ,-feature 101 - feature 167 - feature 51 - ,-53 - 3 - 135 - ,-resource_type 8 - ,-severity_type 1 - ,0
12441,location 826,-event_type 13 - event_type 23 - event_type 11 - ,-feature 223 - feature 345 - feature 54 - feature 273 - feature 306 - feature 68 - feature 179 - feature 170 - ,-3 - 2 - 4 - 3 - 3 - 1 - 1 - 3 - ,-resource_type 7 - resource_type 6 - resource_type 8 - ,-severity_type 1 - ,1
17248,location 112,-event_type 11 - event_type 35 - event_type 34 - ,-feature 181 - feature 160 - feature 44 - feature 232 - feature 312 - ,-1 - 1 - 1 - 1 - 1 - ,-resource_type 8 - resource_type 2 - ,-severity_type 2 - ,0
16745,location 778,-event_type 15 - ,-feature 80 - feature 82 - ,-1 - 1 - ,-resource_type 8 - ,-severity_type 2 - ,0
5315,location 810,-event_type 11 - event_type 15 - ,-feature 193 - feature 203 - feature 71 - feature 82 - ,-1 - 4 - 1 - 7 - ,-resource_type 8 - ,-severity_type 1 - ,0
17118,location 895,-event_type 42 - event_type 44 - ,-feature 283 - feature 291 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 1 - ,1
7725,location 690,-event_type 11 - ,-feature 73 - feature 195 - ,-2 - 2 - ,-resource_type 8 - ,-severity_type 1 - ,0
2311,location 494,-event_type 20 - event_type 35 - event_type 36 - event_type 11 - event_type 34 - ,-feature 117 - feature 181 - feature 313 - feature 232 - feature 233 - feature 219 - feature 237 - feature 312 - feature 134 - feature 29 - ,-1 - 1 - 5 - 4 - 1 - 1 - 1 - 4 - 1 - 1 - ,-resource_type 8 - resource_type 2 - ,-severity_type 1 - ,0
4292,location 1095,-event_type 11 - ,-feature 77 - ,-1 - ,-resource_type 8 - ,-severity_type 2 - ,0
15773,location 445,-event_type 35 - event_type 34 - ,-feature 232 - feature 312 - ,-7 - 7 - ,-resource_type 2 - ,-severity_type 2 - ,0
6531,location 478,-event_type 34 - event_type 35 - ,-feature 234 - feature 232 - feature 308 - feature 228 - feature 314 - feature 227 - feature 307 - feature 229 - feature 312 - feature 309 - ,-51 - 11 - 2 - 2 - 52 - 1 - 1 - 43 - 11 - 45 - ,-resource_type 2 - ,-severity_type 2 - ,0
16009,location 661,-event_type 22 - event_type 11 - ,-feature 75 - feature 305 - ,-1 - 1 - ,-resource_type 7 - resource_type 8 - ,-severity_type 2 - ,0
11930,location 380,-event_type 35 - event_type 34 - ,-feature 312 - feature 232 - ,-7 - 4 - ,-resource_type 2 - ,-severity_type 2 - ,0
8541,location 242,-event_type 35 - event_type 34 - ,-feature 232 - feature 312 - ,-6 - 8 - ,-resource_type 2 - ,-severity_type 2 - ,0
11019,location 1082,-event_type 11 - ,-feature 68 - feature 55 - feature 171 - ,-1 - 2 - 2 - ,-resource_type 8 - ,-severity_type 1 - ,0
8274,location 181,-event_type 34 - event_type 35 - ,-feature 233 - feature 313 - feature 235 - feature 232 - feature 312 - feature 315 - ,-2 - 2 - 1 - 1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,0
722,location 1007,-event_type 11 - event_type 15 - ,-feature 201 - feature 80 - ,-2 - 3 - ,-resource_type 8 - ,-severity_type 1 - ,0
12305,location 131,-event_type 35 - event_type 34 - ,-feature 301 - feature 221 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,1
11444,location 1007,-event_type 15 - event_type 11 - ,-feature 80 - feature 201 - ,-6 - 12 - ,-resource_type 8 - ,-severity_type 1 - ,1
4006,location 931,-event_type 11 - event_type 15 - ,-feature 201 - feature 82 - feature 80 - feature 203 - ,-1 - 1 - 1 - 7 - ,-resource_type 8 - ,-severity_type 1 - ,1
9231,location 980,-event_type 11 - ,-feature 80 - feature 201 - ,-1 - 1 - ,-resource_type 8 - ,-severity_type 1 - ,1
6821,location 118,-event_type 34 - event_type 20 - event_type 35 - ,-feature 232 - feature 307 - feature 301 - feature 134 - feature 312 - ,-11 - 1 - 1 - 1 - 13 - ,-resource_type 2 - ,-severity_type 1 - ,0
12888,location 373,-event_type 34 - ,-feature 232 - ,-1 - ,-resource_type 2 - ,-severity_type 2 - ,0
6779,location 169,-event_type 35 - event_type 34 - ,-feature 307 - feature 312 - feature 227 - feature 232 - ,-2 - 1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,0
11232,location 421,-event_type 34 - event_type 20 - event_type 35 - ,-feature 307 - feature 312 - feature 232 - feature 301 - feature 219 - feature 134 - ,-3 - 3 - 1 - 3 - 2 - 2 - ,-resource_type 2 - ,-severity_type 1 - ,0
11685,location 779,-event_type 15 - ,-feature 82 - feature 201 - feature 80 - feature 203 - ,-42 - 1 - 3 - 3 - ,-resource_type 8 - ,-severity_type 2 - ,2
1318,location 690,-event_type 11 - event_type 20 - ,-feature 219 - feature 202 - feature 134 - feature 81 - ,-1 - 2 - 1 - 2 - ,-resource_type 8 - resource_type 2 - ,-severity_type 1 - ,1
909,location 59,-event_type 11 - ,-feature 171 - feature 55 - ,-1 - 3 - ,-resource_type 8 - ,-severity_type 2 - ,1
18511,location 648,-event_type 11 - event_type 13 - ,-feature 345 - feature 68 - feature 273 - ,-2 - 1 - 2 - ,-resource_type 6 - resource_type 8 - ,-severity_type 1 - ,1
16460,location 478,-event_type 34 - event_type 35 - ,-feature 309 - feature 313 - feature 233 - feature 234 - feature 314 - feature 229 - ,-21 - 1 - 1 - 22 - 37 - 9 - ,-resource_type 2 - ,-severity_type 2 - ,0
12008,location 118,-event_type 34 - event_type 35 - ,-feature 232 - feature 312 - ,-13 - 13 - ,-resource_type 2 - ,-severity_type 2 - ,0
6811,location 124,-event_type 35 - event_type 34 - ,-feature 235 - feature 313 - feature 232 - feature 315 - feature 227 - feature 312 - feature 307 - feature 233 - ,-5 - 7 - 4 - 6 - 2 - 4 - 2 - 7 - ,-resource_type 2 - ,-severity_type 2 - ,0
16071,location 7,-event_type 11 - ,-feature 171 - feature 70 - feature 191 - feature 55 - feature 202 - feature 81 - ,-3 - 5 - 1 - 7 - 2 - 2 - ,-resource_type 8 - ,-severity_type 1 - ,0
4486,location 12,-event_type 11 - ,-feature 74 - ,-1 - ,-resource_type 8 - ,-severity_type 1 - ,0
183,location 1026,-event_type 13 - event_type 11 - ,-feature 273 - feature 68 - ,-2 - 6 - ,-resource_type 6 - resource_type 8 - ,-severity_type 1 - ,1
5729,location 270,-event_type 35 - ,-feature 313 - ,-1 - ,-resource_type 2 - ,-severity_type 4 - ,0
15368,location 1106,-event_type 11 - ,-feature 170 - feature 54 - ,-27 - 24 - ,-resource_type 8 - ,-severity_type 1 - ,0
5064,location 1090,-event_type 11 - ,-feature 202 - feature 81 - ,-10 - 6 - ,-resource_type 8 - ,-severity_type 1 - ,0
11530,location 522,-event_type 35 - event_type 34 - ,-feature 312 - feature 232 - ,-3 - 5 - ,-resource_type 2 - ,-severity_type 2 - ,0
14860,location 1007,-event_type 15 - event_type 11 - ,-feature 80 - feature 201 - ,-2 - 1 - ,-resource_type 8 - ,-severity_type 1 - ,0
13166,location 836,-event_type 11 - ,-feature 73 - feature 195 - ,-1 - 1 - ,-resource_type 8 - ,-severity_type 1 - ,0
14528,location 145,-event_type 34 - event_type 35 - ,-feature 232 - feature 312 - feature 227 - feature 313 - feature 233 - feature 307 - ,-2 - 2 - 3 - 3 - 3 - 4 - ,-resource_type 2 - ,-severity_type 2 - ,0
4202,location 895,-event_type 44 - event_type 43 - event_type 50 - event_type 42 - ,-feature 376 - feature 375 - feature 374 - feature 368 - feature 290 - ,-5 - 4 - 1 - 5 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,1
3916,location 1020,-event_type 11 - ,-feature 209 - feature 155 - feature 182 - feature 170 - feature 204 - feature 68 - ,-2 - 3 - 1 - 4 - 2 - 1 - ,-resource_type 8 - ,-severity_type 1 - ,1
11454,location 804,-event_type 20 - ,-feature 219 - feature 134 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 1 - ,1
12297,location 1055,-event_type 11 - event_type 15 - ,-feature 193 - feature 71 - ,-81 - 167 - ,-resource_type 8 - ,-severity_type 1 - ,0
553,location 798,-event_type 11 - event_type 15 - ,-feature 82 - feature 203 - ,-38 - 15 - ,-resource_type 8 - ,-severity_type 1 - ,0
10390,location 1052,-event_type 15 - event_type 54 - ,-feature 82 - feature 203 - feature 71 - ,-12 - 1 - 1 - ,-resource_type 8 - resource_type 2 - ,-severity_type 1 - ,1
5056,location 122,-event_type 34 - event_type 35 - ,-feature 313 - feature 312 - feature 233 - feature 235 - ,-3 - 2 - 4 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,0
10503,location 157,-event_type 35 - event_type 34 - ,-feature 232 - feature 312 - ,-1 - 3 - ,-resource_type 2 - ,-severity_type 2 - ,0
1835,location 802,-event_type 18 - event_type 13 - event_type 11 - ,-feature 68 - feature 338 - feature 261 - feature 273 - ,-3 - 2 - 2 - 3 - ,-resource_type 8 - resource_type 6 - resource_type 10 - ,-severity_type 1 - ,1
10085,location 242,-event_type 34 - event_type 35 - ,-feature 314 - feature 309 - feature 312 - feature 234 - feature 229 - feature 232 - ,-71 - 70 - 58 - 70 - 67 - 57 - ,-resource_type 2 - ,-severity_type 2 - ,0
13807,location 893,-event_type 43 - event_type 42 - event_type 44 - ,-feature 376 - feature 368 - feature 291 - feature 290 - feature 120 - feature 375 - feature 125 - feature 283 - ,-30 - 32 - 17 - 7 - 3 - 30 - 3 - 17 - ,-resource_type 2 - ,-severity_type 1 - ,0
11318,location 457,-event_type 35 - event_type 34 - ,-feature 233 - feature 312 - feature 315 - feature 316 - feature 313 - feature 235 - feature 232 - ,-35 - 3 - 5 - 2 - 35 - 3 - 3 - ,-resource_type 2 - ,-severity_type 2 - ,0
533,location 99,-event_type 35 - ,-feature 312 - ,-1 - ,-resource_type 2 - ,-severity_type 4 - ,0
10538,location 839,-event_type 11 - ,-feature 54 - feature 68 - feature 170 - ,-49 - 1 - 40 - ,-resource_type 8 - ,-severity_type 1 - ,1
11549,location 719,-event_type 20 - ,-feature 134 - ,-1 - ,-resource_type 2 - ,-severity_type 1 - ,0
16900,location 793,-event_type 11 - ,-feature 195 - feature 73 - ,-2 - 11 - ,-resource_type 8 - ,-severity_type 1 - ,0
599,location 1109,-event_type 20 - ,-feature 134 - ,-1 - ,-resource_type 2 - ,-severity_type 1 - ,0
11700,location 648,-event_type 11 - event_type 13 - event_type 14 - ,-feature 54 - feature 345 - feature 68 - ,-3 - 1 - 3 - ,-resource_type 4 - resource_type 6 - resource_type 8 - ,-severity_type 1 - ,0
18331,location 957,-event_type 11 - ,-feature 171 - ,-1 - ,-resource_type 8 - ,-severity_type 2 - ,0
5381,location 600,-event_type 15 - ,-feature 203 - feature 82 - ,-8 - 14 - ,-resource_type 8 - ,-severity_type 2 - ,2
13638,location 665,-event_type 11 - ,-feature 55 - feature 171 - ,-16 - 16 - ,-resource_type 8 - ,-severity_type 1 - ,0
2703,location 846,-event_type 15 - ,-feature 82 - ,-2 - ,-resource_type 8 - ,-severity_type 2 - ,0
13686,location 1107,-event_type 15 - ,-feature 193 - feature 203 - feature 82 - feature 71 - ,-1 - 8 - 32 - 3 - ,-resource_type 8 - ,-severity_type 2 - ,0
6240,location 1052,-event_type 15 - event_type 20 - ,-feature 203 - feature 219 - feature 82 - feature 134 - ,-4 - 1 - 4 - 1 - ,-resource_type 2 - resource_type 8 - ,-severity_type 1 - ,2
8546,location 1107,-event_type 11 - event_type 15 - ,-feature 71 - feature 193 - feature 82 - feature 203 - ,-15 - 7 - 148 - 56 - ,-resource_type 8 - ,-severity_type 1 - ,0
4578,location 948,-event_type 11 - ,-feature 170 - feature 68 - ,-1 - 1 - ,-resource_type 8 - ,-severity_type 2 - ,0
15870,location 646,-event_type 11 - ,-feature 203 - feature 82 - feature 68 - ,-10 - 10 - 2 - ,-resource_type 8 - ,-severity_type 1 - ,0
17084,location 302,-event_type 35 - ,-feature 301 - ,-1 - ,-resource_type 2 - ,-severity_type 4 - ,0
4114,location 273,-event_type 11 - ,-feature 68 - ,-1 - ,-resource_type 8 - ,-severity_type 1 - ,0
8011,location 1,-event_type 15 - ,-feature 68 - ,-7 - ,-resource_type 8 - ,-severity_type 2 - ,0
6588,location 124,-event_type 35 - event_type 34 - ,-feature 315 - feature 233 - feature 232 - feature 313 - feature 312 - feature 235 - ,-3 - 3 - 2 - 5 - 3 - 2 - ,-resource_type 2 - ,-severity_type 2 - ,0
12490,location 704,-event_type 11 - ,-feature 71 - ,-1 - ,-resource_type 8 - ,-severity_type 1 - ,2
3975,location 476,-event_type 35 - event_type 34 - ,-feature 312 - feature 229 - feature 314 - feature 228 - feature 309 - feature 232 - feature 234 - feature 308 - ,-5 - 6 - 40 - 2 - 11 - 4 - 29 - 2 - ,-resource_type 2 - ,-severity_type 2 - ,0
4720,location 152,-event_type 35 - event_type 34 - ,-feature 312 - feature 232 - ,-3 - 2 - ,-resource_type 2 - ,-severity_type 2 - ,0
15209,location 734,-event_type 15 - event_type 11 - ,-feature 193 - feature 82 - feature 71 - ,-4 - 2 - 5 - ,-resource_type 8 - ,-severity_type 1 - ,0
6092,location 1076,-event_type 15 - ,-feature 56 - feature 172 - ,-1 - 1 - ,-resource_type 8 - ,-severity_type 2 - ,1
9426,location 798,-event_type 11 - event_type 15 - ,-feature 203 - feature 82 - ,-12 - 17 - ,-resource_type 8 - ,-severity_type 1 - ,0
2307,location 520,-event_type 34 - event_type 35 - ,-feature 312 - feature 232 - ,-12 - 11 - ,-resource_type 2 - ,-severity_type 2 - ,0
13291,location 1046,-event_type 11 - event_type 13 - ,-feature 345 - feature 68 - feature 273 - ,-2 - 2 - 1 - ,-resource_type 8 - resource_type 6 - ,-severity_type 1 - ,0
17245,location 803,-event_type 11 - ,-feature 68 - feature 170 - feature 54 - ,-1 - 1 - 1 - ,-resource_type 8 - ,-severity_type 2 - ,1
11726,location 963,-event_type 11 - ,-feature 195 - feature 109 - feature 73 - ,-129 - 118 - 203 - ,-resource_type 8 - ,-severity_type 1 - ,0
15486,location 821,-event_type 15 - event_type 11 - ,-feature 193 - feature 172 - feature 56 - feature 82 - feature 80 - feature 71 - ,-1 - 4 - 2 - 8 - 2 - 1 - ,-resource_type 8 - ,-severity_type 1 - ,0
9033,location 1061,-event_type 11 - event_type 15 - ,-feature 80 - feature 201 - ,-4 - 6 - ,-resource_type 8 - ,-severity_type 1 - ,2
9959,location 714,-event_type 11 - event_type 13 - ,-feature 68 - feature 345 - feature 273 - feature 179 - ,-4 - 1 - 3 - 2 - ,-resource_type 8 - resource_type 6 - ,-severity_type 1 - ,0
3798,location 242,-event_type 35 - event_type 34 - ,-feature 314 - feature 232 - feature 309 - feature 312 - feature 229 - feature 234 - ,-13 - 33 - 27 - 29 - 28 - 17 - ,-resource_type 2 - ,-severity_type 2 - ,0
15624,location 613,-event_type 11 - event_type 54 - event_type 15 - ,-feature 193 - feature 82 - feature 203 - feature 71 - ,-5 - 6 - 6 - 6 - ,-resource_type 8 - ,-severity_type 1 - ,1
5995,location 91,-event_type 35 - event_type 34 - ,-feature 314 - feature 312 - feature 313 - feature 232 - feature 307 - feature 234 - feature 233 - ,-1 - 1 - 1 - 1 - 1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,0
9644,location 1007,-event_type 11 - event_type 15 - ,-feature 201 - feature 80 - ,-3 - 3 - ,-resource_type 8 - ,-severity_type 1 - ,0
10779,location 300,-event_type 34 - event_type 35 - ,-feature 312 - feature 227 - feature 313 - feature 232 - feature 307 - feature 233 - ,-13 - 2 - 8 - 14 - 1 - 6 - ,-resource_type 2 - ,-severity_type 2 - ,0
