11066,location 481,-event_type 35 - event_type 34 - ,-feature 230 - feature 310 - feature 228 - feature 308 - ,-24 - 28 - 20 - 26 - ,-resource_type 2 - ,-severity_type 2 - 
12302,location 124,-event_type 35 - event_type 34 - ,-feature 315 - feature 312 - feature 235 - feature 232 - feature 313 - feature 233 - ,-4 - 5 - 4 - 5 - 4 - 4 - ,-resource_type 2 - ,-severity_type 2 - 
12271,location 460,-event_type 35 - event_type 34 - ,-feature 312 - feature 232 - ,-7 - 8 - ,-resource_type 2 - ,-severity_type 2 - 
5341,location 814,-event_type 11 - ,-feature 70 - feature 191 - ,-46 - 19 - ,-resource_type 8 - ,-severity_type 1 - 
4427,location 126,-event_type 35 - event_type 34 - ,-feature 313 - feature 233 - feature 307 - feature 315 - feature 227 - feature 235 - feature 232 - feature 312 - ,-10 - 8 - 5 - 5 - 2 - 5 - 6 - 8 - ,-resource_type 2 - ,-severity_type 2 - 
529,location 957,-event_type 11 - ,-feature 70 - ,-4 - ,-resource_type 8 - ,-severity_type 1 - 
2022,location 737,-event_type 11 - ,-feature 73 - ,-3 - ,-resource_type 8 - ,-severity_type 2 - 
14625,location 124,-event_type 35 - event_type 34 - ,-feature 315 - feature 235 - feature 313 - feature 232 - feature 233 - feature 312 - ,-1 - 2 - 3 - 2 - 4 - 2 - ,-resource_type 2 - ,-severity_type 2 - 
2922,location 704,-event_type 15 - ,-feature 203 - feature 82 - ,-2 - 21 - ,-resource_type 8 - ,-severity_type 2 - 
16330,location 1061,-event_type 15 - ,-feature 82 - feature 203 - feature 80 - ,-14 - 12 - 1 - ,-resource_type 8 - ,-severity_type 2 - 
12890,location 256,-event_type 34 - event_type 35 - ,-feature 312 - feature 232 - ,-9 - 9 - ,-resource_type 2 - ,-severity_type 2 - 
2140,location 183,-event_type 35 - event_type 34 - ,-feature 230 - feature 308 - feature 310 - feature 228 - ,-1 - 1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 2 - 
13484,location 922,-event_type 20 - ,-feature 134 - feature 219 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 1 - 
12392,location 184,-event_type 35 - ,-feature 307 - feature 312 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 4 - 
2322,location 1019,-event_type 11 - event_type 15 - ,-feature 196 - feature 82 - feature 203 - feature 74 - ,-1 - 26 - 22 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
567,location 734,-event_type 15 - event_type 11 - ,-feature 80 - feature 203 - feature 193 - feature 82 - feature 71 - feature 201 - ,-2 - 20 - 1 - 38 - 3 - 2 - ,-resource_type 8 - ,-severity_type 1 - 
4436,location 236,-event_type 35 - event_type 34 - ,-feature 227 - feature 307 - feature 312 - feature 232 - ,-1 - 2 - 24 - 22 - ,-resource_type 2 - ,-severity_type 2 - 
12156,location 124,-event_type 35 - event_type 34 - ,-feature 307 - feature 312 - feature 235 - feature 233 - feature 232 - feature 315 - feature 313 - feature 227 - ,-2 - 4 - 4 - 6 - 4 - 4 - 6 - 2 - ,-resource_type 2 - ,-severity_type 2 - 
7508,location 858,-event_type 15 - event_type 11 - ,-feature 172 - feature 56 - ,-1 - 3 - ,-resource_type 8 - ,-severity_type 1 - 
6184,location 707,-event_type 26 - event_type 15 - event_type 11 - ,-feature 80 - feature 349 - feature 193 - feature 71 - feature 276 - ,-1 - 1 - 8 - 13 - 1 - ,-resource_type 8 - resource_type 9 - ,-severity_type 1 - 
12213,location 763,-event_type 15 - ,-feature 82 - ,-10 - ,-resource_type 8 - ,-severity_type 2 - 
6458,location 1100,-event_type 15 - event_type 11 - ,-feature 82 - feature 203 - feature 71 - ,-15 - 4 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
13967,location 155,-event_type 35 - event_type 20 - event_type 34 - ,-feature 219 - feature 301 - feature 134 - feature 232 - feature 312 - ,-1 - 1 - 1 - 6 - 8 - ,-resource_type 2 - ,-severity_type 1 - 
894,location 1008,-event_type 15 - ,-feature 82 - feature 80 - ,-1 - 6 - ,-resource_type 8 - ,-severity_type 2 - 
7461,location 1107,-event_type 11 - event_type 15 - ,-feature 203 - feature 80 - feature 193 - feature 71 - feature 82 - ,-4 - 1 - 1 - 3 - 6 - ,-resource_type 8 - ,-severity_type 1 - 
8949,location 270,-event_type 34 - event_type 35 - event_type 20 - ,-feature 221 - feature 229 - feature 308 - feature 219 - feature 309 - feature 312 - feature 234 - feature 301 - feature 314 - feature 232 - feature 307 - feature 134 - feature 228 - feature 227 - ,-1 - 1 - 1 - 1 - 1 - 1 - 2 - 1 - 2 - 1 - 1 - 1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 1 - 
3477,location 1083,-event_type 11 - ,-feature 170 - feature 204 - ,-1 - 2 - ,-resource_type 8 - ,-severity_type 1 - 
2779,location 451,-event_type 35 - event_type 34 - ,-feature 313 - feature 233 - ,-33 - 31 - ,-resource_type 2 - ,-severity_type 2 - 
13551,location 895,-event_type 42 - event_type 43 - event_type 44 - ,-feature 368 - feature 376 - feature 290 - feature 375 - ,-4 - 4 - 1 - 3 - ,-resource_type 2 - ,-severity_type 2 - 
8297,location 964,-event_type 11 - ,-feature 195 - feature 73 - ,-1 - 2 - ,-resource_type 8 - ,-severity_type 1 - 
5050,location 744,-event_type 11 - ,-feature 54 - feature 170 - ,-1 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
10716,location 112,-event_type 35 - event_type 20 - ,-feature 134 - feature 219 - feature 301 - ,-1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 1 - 
16075,location 553,-event_type 54 - ,-feature 361 - feature 359 - ,-4 - 3 - ,-resource_type 2 - ,-severity_type 1 - 
1366,location 1050,-event_type 11 - event_type 14 - ,-feature 163 - feature 47 - ,-1 - 1 - ,-resource_type 4 - resource_type 8 - ,-severity_type 1 - 
774,location 466,-event_type 35 - event_type 34 - ,-feature 312 - feature 232 - ,-7 - 7 - ,-resource_type 2 - ,-severity_type 2 - 
7406,location 1093,-event_type 23 - event_type 11 - ,-feature 306 - feature 54 - ,-1 - 1 - ,-resource_type 7 - resource_type 8 - ,-severity_type 2 - 
2526,location 721,-event_type 11 - ,-feature 54 - ,-1 - ,-resource_type 8 - ,-severity_type 1 - 
9649,location 964,-event_type 11 - ,-feature 195 - feature 73 - ,-2 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
16115,location 651,-event_type 11 - ,-feature 62 - feature 87 - feature 209 - feature 182 - ,-1 - 3 - 3 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
14749,location 927,-event_type 11 - ,-feature 170 - feature 209 - feature 182 - ,-16 - 18 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
14952,location 776,-event_type 11 - ,-feature 71 - ,-1 - ,-resource_type 8 - ,-severity_type 1 - 
4786,location 1107,-event_type 15 - event_type 11 - ,-feature 80 - feature 172 - feature 193 - feature 71 - feature 203 - feature 201 - feature 82 - feature 56 - ,-1 - 7 - 3 - 5 - 44 - 2 - 66 - 7 - ,-resource_type 8 - ,-severity_type 1 - 
16513,location 206,-event_type 34 - event_type 35 - ,-feature 235 - feature 315 - feature 313 - feature 233 - ,-7 - 11 - 3 - 3 - ,-resource_type 2 - ,-severity_type 2 - 
2002,location 477,-event_type 34 - event_type 35 - ,-feature 234 - feature 309 - feature 229 - feature 314 - ,-23 - 25 - 16 - 37 - ,-resource_type 2 - ,-severity_type 2 - 
4701,location 8,-event_type 15 - ,-feature 63 - feature 183 - ,-1 - 1 - ,-resource_type 8 - ,-severity_type 2 - 
7742,location 734,-event_type 15 - event_type 11 - ,-feature 76 - feature 68 - ,-1 - 5 - ,-resource_type 8 - ,-severity_type 1 - 
5905,location 802,-event_type 11 - event_type 14 - ,-feature 54 - ,-1 - ,-resource_type 4 - resource_type 8 - ,-severity_type 2 - 
685,location 1007,-event_type 15 - event_type 11 - ,-feature 111 - feature 80 - feature 201 - ,-3 - 37 - 52 - ,-resource_type 8 - ,-severity_type 1 - 
11857,location 181,-event_type 34 - event_type 35 - ,-feature 315 - feature 235 - feature 312 - ,-1 - 1 - 2 - ,-resource_type 2 - ,-severity_type 2 - 
11628,location 653,-event_type 11 - event_type 15 - ,-feature 82 - feature 80 - feature 203 - feature 201 - ,-14 - 11 - 1 - 3 - ,-resource_type 8 - ,-severity_type 1 - 
15024,location 1064,-event_type 20 - ,-feature 134 - feature 219 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 1 - 
4168,location 921,-event_type 15 - ,-feature 82 - ,-6 - ,-resource_type 8 - ,-severity_type 2 - 
11914,location 1042,-event_type 15 - ,-feature 56 - feature 172 - ,-1 - 1 - ,-resource_type 8 - ,-severity_type 2 - 
5293,location 245,-event_type 35 - event_type 34 - ,-feature 312 - feature 232 - ,-16 - 17 - ,-resource_type 2 - ,-severity_type 2 - 
3374,location 107,-event_type 35 - event_type 34 - ,-feature 221 - feature 301 - ,-1 - 2 - ,-resource_type 2 - ,-severity_type 2 - 
13055,location 476,-event_type 34 - event_type 35 - ,-feature 314 - feature 232 - feature 308 - feature 229 - feature 234 - feature 312 - feature 309 - ,-30 - 3 - 2 - 7 - 16 - 9 - 17 - ,-resource_type 2 - ,-severity_type 2 - 
17759,location 778,-event_type 15 - ,-feature 203 - feature 82 - ,-1 - 1 - ,-resource_type 8 - ,-severity_type 2 - 
590,location 1,-event_type 15 - ,-feature 80 - feature 201 - ,-3 - 2 - ,-resource_type 8 - ,-severity_type 2 - 
1353,location 197,-event_type 35 - ,-feature 313 - feature 312 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 4 - 
11938,location 1100,-event_type 15 - event_type 11 - ,-feature 203 - feature 71 - feature 56 - feature 105 - feature 82 - feature 172 - ,-10 - 1 - 203 - 44 - 26 - 122 - ,-resource_type 8 - ,-severity_type 1 - 
1018,location 1052,-event_type 15 - ,-feature 80 - feature 203 - feature 201 - feature 82 - ,-4 - 7 - 3 - 14 - ,-resource_type 8 - ,-severity_type 2 - 
14945,location 244,-event_type 34 - event_type 35 - ,-feature 312 - feature 232 - ,-2 - 2 - ,-resource_type 2 - ,-severity_type 2 - 
1001,location 533,-event_type 20 - ,-feature 219 - feature 134 - ,-2 - 2 - ,-resource_type 2 - ,-severity_type 1 - 
3587,location 823,-event_type 11 - event_type 15 - ,-feature 71 - feature 193 - ,-10 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
868,location 373,-event_type 34 - event_type 35 - ,-feature 232 - feature 312 - ,-44 - 43 - ,-resource_type 2 - ,-severity_type 2 - 
9296,location 653,-event_type 11 - event_type 15 - ,-feature 203 - feature 82 - feature 201 - feature 80 - ,-16 - 39 - 4 - 12 - ,-resource_type 8 - ,-severity_type 1 - 
12455,location 270,-event_type 35 - event_type 34 - ,-feature 313 - feature 233 - ,-4 - 5 - ,-resource_type 2 - ,-severity_type 2 - 
17132,location 794,-event_type 11 - event_type 14 - event_type 20 - event_type 23 - ,-feature 306 - feature 219 - feature 134 - feature 47 - feature 163 - ,-1 - 1 - 1 - 1 - 1 - ,-resource_type 8 - resource_type 2 - resource_type 4 - resource_type 7 - ,-severity_type 1 - 
10240,location 793,-event_type 11 - ,-feature 73 - ,-5 - ,-resource_type 8 - ,-severity_type 2 - 
3696,location 1100,-event_type 15 - event_type 11 - ,-feature 203 - feature 82 - ,-3 - 85 - ,-resource_type 8 - ,-severity_type 1 - 
10355,location 352,-event_type 11 - event_type 36 - ,-feature 181 - feature 29 - feature 237 - feature 117 - ,-1 - 1 - 1 - 1 - ,-resource_type 2 - resource_type 8 - ,-severity_type 1 - 
2206,location 403,-event_type 35 - event_type 21 - ,-feature 312 - feature 220 - feature 135 - feature 307 - feature 301 - ,-1 - 1 - 1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 1 - 
14590,location 477,-event_type 35 - event_type 34 - ,-feature 229 - feature 309 - feature 314 - feature 234 - ,-5 - 21 - 38 - 19 - ,-resource_type 2 - ,-severity_type 2 - 
13191,location 641,-event_type 42 - event_type 44 - ,-feature 376 - feature 368 - ,-3 - 3 - ,-resource_type 2 - ,-severity_type 4 - 
5882,location 139,-event_type 35 - ,-feature 312 - feature 307 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 4 - 
12653,location 430,-event_type 34 - event_type 35 - ,-feature 232 - feature 312 - ,-1 - 2 - ,-resource_type 2 - ,-severity_type 2 - 
1491,location 1010,-event_type 11 - ,-feature 42 - feature 157 - ,-1 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
1176,location 12,-event_type 54 - event_type 11 - ,-feature 362 - feature 360 - feature 74 - feature 196 - ,-2 - 2 - 1 - 1 - ,-resource_type 8 - resource_type 2 - ,-severity_type 1 - 
11246,location 798,-event_type 11 - event_type 15 - ,-feature 203 - feature 82 - ,-10 - 14 - ,-resource_type 8 - ,-severity_type 1 - 
14557,location 1019,-event_type 11 - event_type 15 - ,-feature 196 - feature 82 - feature 203 - feature 74 - ,-1 - 4 - 3 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
4772,location 706,-event_type 11 - ,-feature 204 - feature 54 - feature 83 - feature 170 - feature 62 - feature 182 - ,-2 - 7 - 2 - 7 - 1 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
17192,location 135,-event_type 35 - event_type 34 - ,-feature 232 - feature 312 - ,-1 - 3 - ,-resource_type 2 - ,-severity_type 2 - 
10637,location 412,-event_type 20 - ,-feature 134 - ,-1 - ,-resource_type 2 - ,-severity_type 1 - 
3281,location 1115,-event_type 11 - ,-feature 73 - feature 195 - ,-1 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
3191,location 1018,-event_type 15 - event_type 11 - ,-feature 80 - feature 201 - ,-10 - 7 - ,-resource_type 8 - ,-severity_type 1 - 
672,location 477,-event_type 34 - event_type 35 - ,-feature 232 - feature 312 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 2 - 
6301,location 952,-event_type 20 - ,-feature 219 - feature 134 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 1 - 
10309,location 334,-event_type 35 - ,-feature 312 - ,-1 - ,-resource_type 2 - ,-severity_type 4 - 
1734,location 294,-event_type 35 - event_type 34 - ,-feature 307 - feature 312 - feature 227 - feature 232 - feature 313 - feature 233 - ,-1 - 1 - 1 - 1 - 2 - 2 - ,-resource_type 2 - ,-severity_type 2 - 
2990,location 419,-event_type 35 - event_type 34 - event_type 11 - ,-feature 233 - feature 160 - feature 312 - feature 211 - feature 44 - feature 94 - feature 313 - feature 232 - ,-1 - 1 - 2 - 1 - 4 - 1 - 3 - 1 - ,-resource_type 2 - resource_type 8 - ,-severity_type 1 - 
5746,location 460,-event_type 11 - event_type 20 - event_type 34 - event_type 35 - ,-feature 134 - feature 301 - feature 219 - feature 232 - feature 312 - feature 44 - feature 307 - ,-1 - 1 - 1 - 1 - 3 - 2 - 1 - ,-resource_type 2 - resource_type 8 - ,-severity_type 1 - 
15289,location 1123,-event_type 20 - ,-feature 219 - feature 134 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 1 - 
2971,location 489,-event_type 35 - event_type 34 - ,-feature 232 - feature 312 - ,-12 - 22 - ,-resource_type 2 - ,-severity_type 2 - 
9771,location 893,-event_type 43 - event_type 42 - event_type 44 - ,-feature 368 - feature 291 - feature 376 - feature 283 - feature 290 - feature 375 - ,-7 - 4 - 7 - 4 - 3 - 4 - ,-resource_type 2 - ,-severity_type 1 - 
11253,location 909,-event_type 11 - event_type 14 - ,-feature 170 - feature 54 - ,-3 - 3 - ,-resource_type 8 - resource_type 4 - ,-severity_type 1 - 
14576,location 756,-event_type 2 - event_type 11 - event_type 20 - ,-feature 1 - feature 219 - feature 136 - feature 87 - feature 209 - feature 134 - ,-1 - 1 - 1 - 1 - 1 - 1 - ,-resource_type 2 - resource_type 8 - ,-severity_type 1 - 
4688,location 798,-event_type 15 - ,-feature 82 - feature 203 - ,-16 - 6 - ,-resource_type 8 - ,-severity_type 2 - 
14469,location 696,-event_type 11 - ,-feature 170 - ,-1 - ,-resource_type 8 - ,-severity_type 2 - 
9298,location 814,-event_type 11 - ,-feature 70 - feature 191 - ,-8 - 5 - ,-resource_type 8 - ,-severity_type 1 - 
16099,location 16,-event_type 11 - ,-feature 68 - feature 170 - feature 54 - ,-2 - 2 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
17316,location 648,-event_type 13 - event_type 11 - ,-feature 68 - feature 54 - feature 273 - feature 170 - ,-3 - 8 - 3 - 8 - ,-resource_type 8 - resource_type 6 - ,-severity_type 1 - 
15212,location 476,-event_type 34 - event_type 35 - ,-feature 314 - feature 229 - feature 309 - feature 234 - feature 312 - feature 232 - ,-46 - 21 - 22 - 43 - 1 - 1 - ,-resource_type 2 - ,-severity_type 2 - 
10691,location 962,-event_type 15 - ,-feature 82 - ,-16 - ,-resource_type 8 - ,-severity_type 2 - 
3805,location 468,-event_type 34 - event_type 35 - ,-feature 312 - feature 232 - ,-20 - 20 - ,-resource_type 2 - ,-severity_type 2 - 
6418,location 1030,-event_type 11 - ,-feature 170 - ,-1 - ,-resource_type 8 - ,-severity_type 1 - 
1158,location 309,-event_type 20 - event_type 35 - event_type 34 - ,-feature 219 - feature 232 - feature 312 - feature 134 - ,-1 - 1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 1 - 
7768,location 878,-event_type 11 - ,-feature 73 - ,-1 - ,-resource_type 8 - ,-severity_type 2 - 
4834,location 600,-event_type 15 - ,-feature 203 - feature 193 - feature 82 - feature 71 - ,-22 - 1 - 38 - 1 - ,-resource_type 8 - ,-severity_type 2 - 
10914,location 382,-event_type 34 - event_type 35 - ,-feature 312 - feature 232 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 2 - 
14606,location 1112,-event_type 11 - ,-feature 54 - feature 209 - feature 87 - ,-1 - 1 - 1 - ,-resource_type 8 - ,-severity_type 2 - 
3220,location 959,-event_type 11 - event_type 54 - event_type 15 - ,-feature 71 - feature 193 - ,-4 - 7 - ,-resource_type 8 - resource_type 2 - ,-severity_type 1 - 
10433,location 584,-event_type 11 - ,-feature 73 - feature 195 - ,-3 - 4 - ,-resource_type 8 - ,-severity_type 1 - 
11251,location 703,-event_type 11 - ,-feature 155 - feature 182 - ,-9 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
8084,location 227,-event_type 35 - event_type 34 - ,-feature 227 - feature 232 - feature 312 - feature 307 - ,-1 - 1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 2 - 
522,location 124,-event_type 36 - event_type 35 - event_type 11 - event_type 21 - event_type 34 - ,-feature 235 - feature 232 - feature 315 - feature 313 - feature 160 - feature 237 - feature 233 - feature 181 - feature 135 - feature 312 - ,-2 - 1 - 2 - 2 - 1 - 1 - 2 - 1 - 1 - 2 - ,-resource_type 2 - resource_type 8 - ,-severity_type 1 - 
17299,location 1035,-event_type 23 - ,-feature 306 - ,-1 - ,-resource_type 7 - ,-severity_type 4 - 
15587,location 619,-event_type 11 - ,-feature 54 - feature 170 - feature 20 - feature 103 - ,-362 - 77 - 10 - 68 - ,-resource_type 8 - ,-severity_type 1 - 
1563,location 599,-event_type 15 - ,-feature 82 - feature 203 - ,-71 - 3 - ,-resource_type 8 - ,-severity_type 2 - 
8252,location 1044,-event_type 11 - ,-feature 65 - feature 187 - ,-1 - 1 - ,-resource_type 8 - ,-severity_type 2 - 
17802,location 613,-event_type 11 - event_type 15 - ,-feature 71 - feature 203 - feature 193 - feature 82 - ,-1 - 10 - 2 - 24 - ,-resource_type 8 - ,-severity_type 1 - 
2738,location 794,-event_type 14 - event_type 11 - ,-feature 47 - feature 163 - ,-2 - 3 - ,-resource_type 4 - resource_type 8 - ,-severity_type 1 - 
9896,location 909,-event_type 20 - ,-feature 134 - feature 219 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 1 - 
14609,location 489,-event_type 35 - event_type 34 - ,-feature 312 - feature 308 - feature 310 - feature 236 - feature 232 - feature 314 - feature 313 - feature 316 - feature 233 - feature 234 - ,-10 - 1 - 1 - 8 - 7 - 16 - 2 - 7 - 1 - 9 - ,-resource_type 2 - ,-severity_type 2 - 
10463,location 466,-event_type 34 - event_type 35 - ,-feature 314 - feature 234 - ,-23 - 17 - ,-resource_type 2 - ,-severity_type 2 - 
1280,location 838,-event_type 11 - event_type 24 - event_type 9 - ,-feature 149 - feature 55 - feature 318 - feature 171 - feature 239 - feature 15 - ,-1 - 1 - 1 - 10 - 1 - 1 - ,-resource_type 8 - resource_type 2 - ,-severity_type 1 - 
